Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Total Precipitation (high resolution)  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2015,4,13,0,0,14.45,0,5.35,199.65
2015,4,13,1,0,13.42,0,6.29,193.24
2015,4,13,2,0,12.52,0,6.99,191.89
2015,4,13,3,0,11.52,0,6.73,195.52
2015,4,13,4,0,10.39,0,6.83,198.43
2015,4,13,5,0,9.24,0,8.09,200.85
2015,4,13,6,0,8.37,0,9.69,201.8
2015,4,13,7,0,8.14,0,9.11,198.43
2015,4,13,8,0,9.91,0,5.76,180
2015,4,13,9,0,11.61,0,0.51,225
2015,4,13,10,0,13.23,0,2.52,360
2015,4,13,11,0,15.12,0,3.98,354.81
2015,4,13,12,0,17.04,0,6.38,286.39
2015,4,13,13,0,18.77,0,13.78,289.86
2015,4,13,14,0,18.55,0,8.15,315
2015,4,13,15,0,19.36,0,9.59,304.29
2015,4,13,16,0,19.83,0,11.59,306.16
2015,4,13,17,0,19.89,0,13.55,309.61
2015,4,13,18,0,19.58,0,12.73,315
2015,4,13,19,0,19.22,0,11.68,326.31
2015,4,13,20,0,17.53,0,9.18,334.44
2015,4,13,21,0,16.11,0,7.9,329.93
2015,4,13,22,0,15,0,6.15,339.44
2015,4,13,23,0,13.75,0,3.55,293.96
2015,4,14,0,0,13.06,0,4.38,279.46
2015,4,14,1,0,12.37,0,3.6,270
2015,4,14,2,0,11.75,0,2.97,255.96
2015,4,14,3,0,11.25,0,2.81,230.19
2015,4,14,4,0,10.63,0,3.4,212.01
2015,4,14,5,0,9.92,0,2.74,203.2
2015,4,14,6,0,9.41,0,2.97,194.04
2015,4,14,7,0,9.17,0,3.62,174.29
2015,4,14,8,0,9.65,0,3.22,153.43
2015,4,14,9,0,10.67,0,3.6,90
2015,4,14,10,0,12.28,0,1.8,53.13
2015,4,14,11,0,14.15,0,2.9,352.87
2015,4,14,12,0,15.63,0,4.68,337.38
2015,4,14,13,0,17.02,0,6.83,341.57
2015,4,14,14,0,19.21,0,1.94,338.2
2015,4,14,15,0,19.88,0,1.53,315
2015,4,14,16,0,20.29,0,0.8,296.57
2015,4,14,17,0,20.55,0,1.08,270
2015,4,14,18,0,20.49,0,1.08,90
2015,4,14,19,0,20.01,0,3.26,96.34
2015,4,14,20,0,19.33,0,4.38,99.46
2015,4,14,21,0,18.54,0,7.9,114.23
2015,4,14,22,0,16.31,0,9.18,131.82
2015,4,14,23,0,14.03,0,7.65,138.81
2015,4,15,0,0,12.18,0,6.92,141.34
2015,4,15,1,0,10.97,0,7.15,130.91
2015,4,15,2,0,9.64,0,8.71,128.29
2015,4,15,3,0,9.15,0,9.18,131.82
2015,4,15,4,0,8.76,0,9.45,130.36
2015,4,15,5,0,9,0,9.93,133.53
2015,4,15,6,0,9.19,0,9.42,133.45
2015,4,15,7,0,9.53,0,9.96,130.6
2015,4,15,8,0,9.24,0,10.97,131.01
2015,4,15,9,0,10.97,0,11.44,118.18
2015,4,15,10,0,14.67,0,11.3,112.48
2015,4,15,11,0,17.04,0,1.94,158.2
2015,4,15,12,0,18.95,0,7.52,286.7
2015,4,15,13,0,20.6,0,4.61,308.66
2015,4,15,14,0,23.47,0,9.83,118.44
2015,4,15,15,0,24.02,0,5.09,98.13
2015,4,15,16,0,24.12,0,3.32,40.6
